,0,1,2
20,1966,12/01/66,"['Minglewood Blues', 'Betty And Dupree', 'Next Time You See Me', 'I Know You Rider', 'Big Boss Man', 'One Kind Favor', 'Alice D. Millionaire', 'Me And My Uncle', 'Cream Puff War', ""You Don't Love Me"", 'Beat It On Down The Line', 'It Hurts Me Too', 'On The Road Again', ""Look Over Yonder's Wall"", 'My Own Fault', 'Down So Long', 'Cold Rain And Snow', 'Viola Lee Blues', 'Deep Elem Blues', ""There's Something On Your Mind"", 'Big Boy Pete', ""Death Don't Have No Mercy"", 'Lindy', ""Dancin' In The Streets"", 'Me And My Uncle']"
21,1966,12/02/66,"['I Know You Rider', '']"
22,1967,01/01/67,"[""I'm A King Bee"", 'Lucky Man', 'Minglewood Blues', 'I Know You Rider', 'Cold Rain And Snow', 'Cream Puff War', 'Sitting On Top Of The World']"
23,1967,01/14/67,"['Morning Dew', 'Viola Lee Blues', 'Good Morning Little School Girl']"
24,1967,01/27/67,"['Morning Dew', 'New Potato Caboose', 'Viola Lee Blues', 'Cold Rain And Snow', 'Alligator', 'Caution (Do Not Stop On Tracks)', 'Good Morning Little School Girl']"
25,1967,02/12/67,"['Cold Rain And Snow', 'Hi Heeled Sneakers']"
26,1967,03/18/67,"['Me And My Uncle', 'Next Time You See Me', 'He Was A Friend Of Mine', 'Smokestack Lightning', 'Morning Dew', 'It Hurts Me Too', 'Beat It On Down The Line', ""Dancin' In The Streets"", 'Golden Road To Unlimited Devotion', 'Cream Puff War', 'The Same Thing', 'Cold Rain And Snow', 'Viola Lee Blues', ""Death Don't Have No Mercy""]"
27,1967,04/12/67,['Golden Road To Unlimited Devotion']
28,1967,05/05/67,"['He Was A Friend Of Mine', 'Golden Road To Unlimited Devotion', 'New Potato Caboose', 'Alligator']"
29,1967,05/18/67,['Louie Louie']
30,1967,06/01/67,['Good Morning Little School Girl']
31,1967,06/06/67,"[""I'm A King Bee"", 'It Hurts Me Too', 'The Same Thing', 'Big Boss Man', 'Alligator', 'Midnight Hour', 'Beat It On Down The Line', 'Me And My Uncle', 'Minglewood Blues', ""Don't Ease Me In"", 'Cold Rain And Snow', 'Viola Lee Blues', ""It's All Over Now Baby Blue""]"
32,1967,06/08/67,"['Beat It On Down The Line', 'Golden Road To Unlimited Devotion', 'New Minglewood Blues', 'Cream Puff War', 'Cryptical Envelopment', 'New Potato Caboose', 'Born Cross-Eyed', 'Set 2:Alligator', 'Caution (Do Not Stop On Tracks)', '']"
33,1967,06/18/67,"['Viola Lee Blues', 'Cold Rain And Snow']"
34,1967,06/28/67,"['The Other One', 'Minglewood Blues', 'Dark Star', 'The Eleven', 'William Tell', ""Death Don't Have No Mercy"", 'Clementine', '']"
35,1967,07/23/67,['Jam']
36,1967,08/04/67,"['New Potato Caboose', 'Viola Lee Blues', 'Alligator']"
37,1967,08/05/67,"['Turn On Your Love Light', 'Alligator']"
38,1967,08/06/67,"['Viola Lee Blues', 'Alligator', ""Dancin' In The Streets""]"
39,1967,09/03/67,['Midnight Hour']
40,1967,09/04/67,['Dark Star Jam']
41,1967,09/15/67,"['Viola Lee Blues', 'Cold Rain And Snow', 'Beat It On Down The Line', 'Good Morning Little School Girl', 'Morning Dew', 'Alligator', 'Caution (Do Not Stop On Tracks)']"
42,1967,09/29/67,"['Alligator', 'Drums']"
43,1967,10/14/67,"['Cold Rain And Snow', 'Good Morning Little School Girl', 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)']"
44,1967,10/22/67,"['Morning Dew', 'New Potato Caboose', 'It Hurts Me Too', 'Cold Rain And Snow', 'Turn On Your Love Light', 'Beat It On Down The Line', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment']"
45,1967,11/10/67,"['Viola Lee Blues', 'It Hurts Me Too', 'Beat It On Down The Line', 'Morning Dew', 'Good Morning Little School Girl', 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)']"
46,1967,11/11/67,"['Turn On Your Love Light', 'Beat It On Down The Line', ""Death Don't Have No Mercy"", 'Good Morning Little School Girl', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)']"
47,1967,11/14/67,['Dark Star']
48,1967,11/14/67,"['Born Cross-Eyed', 'Dark Star']"
49,1967,11/19/67,['Turn On Your Love Light']
50,1967,12/13/67,['Dark Star']
51,1968,01/17/68,"['Turn On Your Love Light', 'Dark Star', 'China Cat Sunflower', 'The Eleven', 'New Potato Caboose', 'Born Cross-Eyed', 'Spanish Jam', 'Set 2:Beat It On Down The Line', 'Morning Dew', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'Good Morning Little School Girl', '']"
52,1968,01/20/68,"['Jam', 'Clementine', 'New Potato Caboose', 'Born Cross-Eyed', 'Caution (Do Not Stop On Tracks)', 'Dark Star']"
53,1968,01/22/68,"['Alligator', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', 'Born Cross-Eyed', 'Spanish Jam', 'Dark Star', 'China Cat Sunflower', 'The Eleven', 'Caution (Do Not Stop On Tracks)', 'Feedback']"
54,1968,01/26/68,"['New Potato Caboose', 'Born Cross-Eyed', 'Caution (Do Not Stop On Tracks)']"
55,1968,01/27/68,['Born Cross-Eyed']
56,1968,02/02/68,"['Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment']"
57,1968,02/03/68,"['Dark Star', 'China Cat Sunflower', 'The Eleven', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose']"
58,1968,02/14/68,"['Good Morning Little School Girl', 'Dark Star', 'China Cat Sunflower', 'The Eleven', 'Turn On Your Love Light', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', 'Born Cross-Eyed', 'Spanish Jam', 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)', 'Midnight Hour']"
59,1968,02/17/68,['Good Morning Little School Girl']
60,1968,02/23/68,"['Cold Rain And Snow', 'Good Morning Little School Girl', 'Alligator', 'China Cat Sunflower', 'Born Cross-Eyed']"
61,1968,02/24/68,"['Dark Star', 'China Cat Sunflower', 'Turn On Your Love Light']"
62,1968,03/03/68,"['Viola Lee Blues', 'Smokestack Lightning', 'Turn On Your Love Light', 'It Hurts Me Too']"
63,1968,03/11/68,"['Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', 'Born Cross-Eyed', 'Caution (Do Not Stop On Tracks) Jam']"
64,1968,03/16/68,"['Dark Star', 'China Cat Sunflower', 'The Eleven', 'Good Morning Little School Girl', 'It Hurts Me Too', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)', 'Feedback', 'And We Bid You Goodnight', 'Morning Dew']"
65,1968,03/17/68,"['Dark Star', 'Born Cross-Eyed', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', 'China Cat Sunflower', 'The Eleven', 'Caution (Do Not Stop On Tracks)']"
66,1968,03/26/68,"['Good Morning Little School Girl', ""Death Don't Have No Mercy"", 'Sitting On Top Of The World', 'Dark Star']"
67,1968,03/29/68,"['New Potato Caboose', 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)']"
68,1968,03/30/68,"['Morning Dew', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'Dark Star', 'China Cat Sunflower', 'The Eleven', 'Turn On Your Love Light', 'Born Cross-Eyed', 'Feedback', 'Spanish Jam', ""Death Don't Have No Mercy"", 'Turn On Your Love Light', 'Beat It On Down The Line', ""Dancin' In The Streets""]"
69,1968,04/03/68,"['Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', 'Born Cross-Eyed', 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)']"
70,1968,05/03/68,"['Cold Rain And Snow', 'Sitting On Top Of The World']"
71,1968,05/08/68,['Viola Lee Blues']
72,1968,05/09/68,['He Was A Friend Of Mine']
73,1968,05/18/68,"['Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)', 'Feedback']"
74,1968,06/07/68,"['St. Stephen', 'Dark Star']"
75,1968,06/14/68,"['The Eleven', 'St. Stephen', 'Alligator', 'Turn On Your Love Light', 'Caution (Do Not Stop On Tracks)', 'Drums', 'Caution (Do Not Stop On Tracks)']"
76,1968,06/15/68,"['Feedback', 'The Eleven', 'St. Stephen', 'Alligator', 'Turn On Your Love Light', 'Caution (Do Not Stop On Tracks)', 'Feedback']"
77,1968,06/19/68,"['Turn On Your Love Light', 'Drums', 'Not Fade Away', 'Turn On Your Love Light', 'Jam', 'The Main Ten', 'Jam', 'Dark Star Jam', 'The Other One Jam', '']"
78,1968,08/20/68,"['Dark Star', 'St. Stephen', ""Death Don't Have No Mercy""]"
79,1968,08/21/68,"['Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'Good Morning Little School Girl', 'Alligator', 'Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Turn On Your Love Light', 'Midnight Hour']"
80,1968,08/22/68,"['St. Stephen', ""Death Don't Have No Mercy"", 'Turn On Your Love Light', 'Dark Star', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)', 'Feedback', 'And We Bid You Goodnight']"
81,1968,08/23/68,"['Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)']"
82,1968,08/24/68,"['Good Morning Little School Girl', 'Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', 'Turn On Your Love Light', 'Morning Dew']"
83,1968,08/28/68,"['Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Turn On Your Love Light', 'Good Morning Little School Girl']"
84,1968,09/02/68,"['Dark Star', 'St. Stephen', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)']"
85,1968,09/05/68,['St. Stephen']
86,1968,09/06/68,"['St. Stephen', 'Whats Become Of The Baby']"
87,1968,09/10/68,['St. Stephen']
88,1968,09/11/68,"['St. Stephen', 'Whats Become Of The Baby']"
89,1968,09/13/68,['St. Stephen']
90,1968,09/20/68,"['Alligator', 'Drums']"
91,1968,09/29/68,['St. Stephen']
92,1968,10/02/68,['Whats Become Of The Baby']
93,1968,10/03/68,"['Barbed Wire Whipping Party', 'Whats Become Of The Baby', 'Barbed Wire Whipping Party']"
94,1968,10/04/68,"['Clementine', 'Barbed Wire Whipping Party']"
95,1968,10/07/68,"['Clementine', 'Barbed Wire Whipping Party']"
96,1968,10/08/68,"[""Death Don't Have No Mercy"", 'The Seven', 'Dark Star Jam', 'The Other One']"
97,1968,10/09/68,"['Jam', ""It's A Sin"", 'Next Time You See Me', 'The Rub', ""Look Over Yonder's Wall"", 'New Potato Caboose', 'Turn On Your Love Light', 'Caution (Do Not Stop On Tracks)', 'The Other One', ""Death Don't Have No Mercy"", 'Dark Star Jam', 'The Eleven', 'The Seven']"
98,1968,10/10/68,"['Turn On Your Love Light', 'Alligator', 'The Other One', ""Death Don't Have No Mercy"", 'Dark Star Jam']"
99,1968,10/12/68,"['Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', 'Thirteens Jam', 'Drums', 'Caution (Do Not Stop On Tracks)', 'Feedback']"
100,1968,10/13/68,"['Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose']"
101,1968,10/20/68,"['Good Morning Little School Girl', 'Turn On Your Love Light', 'Dark Star', 'St. Stephen', 'The Eleven', 'Caution (Do Not Stop On Tracks)', 'Feedback']"
102,1968,10/30/68,"['Dark Star', 'Death Letter Blues', 'The Other One', 'Turn On Your Love Light', 'The Seven', ""Death Don't Have No Mercy"", 'Jam', 'Prisoner Blues', 'Dark Star Jam']"
103,1968,11/01/68,"['Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)', 'Dark Star', 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', 'And We Bid You Goodnight']"
104,1968,11/05/68,['Clementine']
105,1968,11/06/68,"['Turn On Your Love Light', 'Dark Star', 'St. Stephen', 'The Eleven']"
106,1968,11/10/68,['Morning Dew']
107,1968,11/22/68,"['Morning Dew', 'Good Morning Little School Girl', 'Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'The Other One Jam', 'New Potato Caboose', 'And We Bid You Goodnight']"
108,1968,12/01/68,['And We Bid You Goodnight']
109,1968,12/07/68,"['Dark Star', 'St. Stephen', 'The Eleven Jam', ""Death Don't Have No Mercy"", 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', 'Rosemary', 'He Was A Friend Of Mine', 'It Hurts Me Too', 'Morning Dew', 'And We Bid You Goodnight']"
110,1968,12/10/68,"['Turn On Your Love Light', 'Dark Star', 'St. Stephen', 'St. Stephen', 'The Eleven', 'The Eleven']"
111,1968,12/16/68,"['Jam', 'Jam']"
112,1968,12/20/68,"['The Eleven', 'Mountains Of The Moon', 'Turn On Your Love Light', '']"
113,1968,12/21/68,"['Turn On Your Love Light', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'It Hurts Me Too', 'Alligator', 'Drums', 'Alligator', 'Feedback', 'Caution (Do Not Stop On Tracks)', 'And We Bid You Goodnight']"
114,1968,12/29/68,"['Turn On Your Love Light', 'Dark Star', 'St. Stephen', 'The Eleven', 'Drums', 'The Other One', 'Cryptical Envelopment', 'And We Bid You Goodnight']"
115,1968,12/31/68,"['Midnight Hour', 'Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light']"
116,1969,01/06/69,['Mountains Of The Moon']
117,1969,01/15/69,"[""Doin' That Rag"", 'Mountains Of The Moon']"
118,1969,01/17/69,"['Turn On Your Love Light', 'Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'Cosmic Charlie']"
119,1969,01/20/69,"[""Dupree's Diamond Blues"", 'China Cat Sunflower']"
120,1969,01/24/69,"['Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', ""Dupree's Diamond Blues"", ""Doin' That Rag"", 'Dark Star', 'Turn On Your Love Light']"
121,1969,01/26/69,"['Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'Clementine', ""Death Don't Have No Mercy"", 'Set 2:Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light']"
122,1969,02/02/69,"['Good Morning Little School Girl', 'Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'Turn On Your Love Light']"
123,1969,02/04/69,"['Good Morning Little School Girl', 'Morning Dew', 'Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy""]"
124,1969,02/05/69,"['Turn On Your Love Light', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'Dark Star', 'St. Stephen', 'The Eleven', 'Caution (Do Not Stop On Tracks)', 'Feedback', 'And We Bid You Goodnight']"
125,1969,02/06/69,"['Morning Dew', 'Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'Feedback', 'And We Bid You Goodnight']"
126,1969,02/07/69,"['Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light']"
127,1969,02/07/69,"['George Washington Story', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', ""Death Don't Have No Mercy"", 'Alligator', 'Drums', 'Jam', 'China Cat Sunflower Jam', 'Primal Alligator Jam', 'Caution (Do Not Stop On Tracks)', 'Feedback', 'And We Bid You Goodnight']"
128,1969,02/11/69,"['Good Morning Little School Girl', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', ""Doin' That Rag"", ""I'm A King Bee"", 'Turn On Your Love Light', 'Hey Jude', '']"
129,1969,02/11/69,"[""Dupree's Diamond Blues"", 'Mountains Of The Moon', 'Dark Star', 'St. Stephen', 'The Eleven Jam', 'Drums', 'Caution (Do Not Stop On Tracks)', 'Feedback', 'And We Bid You Goodnight']"
130,1969,02/12/69,"[""Dupree's Diamond Blues"", 'Mountains Of The Moon', '']"
131,1969,02/12/69,"['Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)', 'Feedback', 'And We Bid You Goodnight']"
132,1969,02/14/69,"['Good Morning Little School Girl', 'Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light', 'Morning Dew', 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', ""Death Don't Have No Mercy"", 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)']"
133,1969,02/15/69,"[""Doin' That Rag"", 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'Morning Dew', 'Turn On Your Love Light', ""Dupree's Diamond Blues"", 'Mountains Of The Moon', 'Dark Star', 'St. Stephen', 'The Eleven']"
134,1969,02/21/69,"['Good Morning Little School Girl', ""Doin' That Rag"", 'Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light', 'Encore:Morning Dew']"
135,1969,02/22/69,"[""Dupree's Diamond Blues"", 'Mountains Of The Moon', 'Dark Star', 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', ""Death Don't Have No Mercy"", ""Doin' That Rag"", 'St. Stephen', 'The Eleven', 'Turn On Your Love Light']"
136,1969,02/27/69,"['Good Morning Little School Girl', ""Doin' That Rag"", 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'It Hurts Me Too', ""Dupree's Diamond Blues"", 'Mountains Of The Moon', 'Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light', 'Cosmic Charlie']"
137,1969,02/28/69,"['Morning Dew', 'Good Morning Little School Girl', ""Doin' That Rag"", ""I'm A King Bee"", 'Turn On Your Love Light', 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)', 'Feedback', 'And We Bid You Goodnight']"
138,1969,03/01/69,"['Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'New Potato Caboose', ""Doin' That Rag"", 'Cosmic Charlie', ""Dupree's Diamond Blues"", 'Mountains Of The Moon', 'Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light', 'Hey Jude']"
139,1969,03/02/69,"['Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light', ""Doin' That Rag"", 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', ""Death Don't Have No Mercy"", 'Morning Dew', 'Alligator', 'Drums', 'Caution (Do Not Stop On Tracks) Jam', 'Caution (Do Not Stop On Tracks)', 'Feedback', 'And We Bid You Goodnight']"
140,1969,03/11/69,"['Cosmic Charlie', 'Mountains Of The Moon']"
141,1969,03/15/69,"['Morning Dew', 'Alligator', 'Drums', 'Alligator', 'Hard To Handle', 'Good Morning Little School Girl', 'Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light']"
142,1969,03/27/69,"['Good Morning Little School Girl', 'Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Turn On Your Love Light', 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment']"
143,1969,03/28/69,"['Good Morning Little School Girl', 'Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Turn On Your Love Light', 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment']"
144,1969,03/29/69,"['Morning Dew', 'Good Morning Little School Girl', ""Doin' That Rag"", 'Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light']"
145,1969,04/05/69,"[""Dupree's Diamond Blues"", 'Mountains Of The Moon', 'Dark Star', 'St. Stephen', 'Turn On Your Love Light', 'Hard To Handle', 'Cosmic Charlie', 'China Cat Sunflower', ""Doin' That Rag"", 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'The Eleven', ""It's A Sin"", 'Alligator', 'Feedback', 'And We Bid You Goodnight']"
146,1969,04/06/69,"['Good Morning Little School Girl', 'Beat It On Down The Line', ""It's All Over Now Baby Blue"", ""I'm A King Bee"", 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', ""Death Don't Have No Mercy"", 'Turn On Your Love Light', 'Viola Lee Blues', ""What's Become of The Baby"", 'And We Bid You Goodnight']"
147,1969,04/11/69,"['Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', ""It's A Sin"", 'Hard To Handle', 'Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light', '']"
148,1969,04/12/69,"['Morning Dew', 'Good Morning Little School Girl', ""Doin' That Rag"", 'He Was A Friend Of Mine', 'Cryptical Envelopment', 'The Other One', 'Cryptical Envelopment', 'Dark Star', 'St. Stephen', 'The Eleven', 'Turn On Your Love Light', 'Feedback', '']"
149,1969,04/13/69,"['Turn On Your Love Light', ""Doin' That Rag"", 'Good Morning Little School Girl', 'Morning Dew', 'Dark Star', 'St. Stephen', 'The Eleven', ""Death Don't Have No Mercy"", 'Alligator', 'Drums', 'Alligator', 'Caution (Do Not Stop On Tracks)']"
150,1969,04/15/69,"['Hard To Handle', 'Beat It On Down The Line', 'Morning Dew', 'It Hurts Me Too', 'China Cat Sunflower', ""Doin' That Rag"", ""It's A Sin"", 'Turn On Your Love Light', 'Set 2:Sitting On Top Of The World', 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'Dark Star', 'St. Stephen', 'The Eleven', '']"
151,1969,04/17/69,"['Morning Dew', 'Good Morning Little School Girl', 'Dark Star', 'St. Stephen', ""It's A Sin"", 'St. Stephen', 'The Eleven', 'Turn On Your Love Light', 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'Caution (Do Not Stop On Tracks)']"
152,1969,04/18/69,"['Hard To Handle', 'Morning Dew', 'Cryptical Envelopment', 'Drums', 'The Other One', 'Cryptical Envelopment', 'Sitting On Top Of The World', ""I'm A King Bee"", ""Doin' That Rag"", 'Turn On Your Love Light', 'Cosmic Charlie', 'Beat It On Down The Line']"
